    0.00 
    0.20 V
      frequency    real         imag
      253.60    -0.0002450    -0.0010308
      253.61    -0.0004212    -0.0009716
      253.62    -0.0002209    -0.0008553
      253.63    -0.0002650    -0.0009890
      253.64    -0.0002353    -0.0007716
      253.65    -0.0003442    -0.0008018
      253.66    -0.0003593    -0.0010031
      253.67    -0.0003034    -0.0009079
      253.69    -0.0002490    -0.0007686
      253.70    -0.0004899    -0.0006711
      253.71    -0.0003548    -0.0008031
      253.72    -0.0002053    -0.0008428
      253.73    -0.0002746    -0.0007798
      253.74    -0.0002856    -0.0008215
      253.75    -0.0003285    -0.0008918
      253.76    -0.0004002    -0.0007112
      253.77    -0.0002972    -0.0009013
      253.78    -0.0003440    -0.0007415
      253.80    -0.0001659    -0.0007913
      253.81    -0.0004313    -0.0006868
      253.82    -0.0003956    -0.0007317
      253.83    -0.0004962    -0.0007449
      253.84    -0.0003187    -0.0008786
      253.85    -0.0003712    -0.0009029
      253.86    -0.0004578    -0.0008462
      253.87    -0.0002672    -0.0007152
      253.88    -0.0003560    -0.0007750
      253.89    -0.0001973    -0.0008320
      253.91    -0.0002854    -0.0007307
      253.92    -0.0003468    -0.0007998
      253.93    -0.0003198    -0.0007348
      253.94    -0.0002830    -0.0006714
      253.95    -0.0002936    -0.0006470
      253.96    -0.0004618    -0.0008157
      253.97    -0.0003815    -0.0007795
      253.98    -0.0004333    -0.0007609
      253.99    -0.0004783    -0.0007520
      254.00    -0.0003391    -0.0008712
      254.02    -0.0002138    -0.0007602
      254.03    -0.0003698    -0.0008650
      254.04    -0.0003674    -0.0007894
      254.05    -0.0002143    -0.0006397
      254.06    -0.0004249    -0.0006285
      254.07    -0.0002300    -0.0007533
      254.08    -0.0003026    -0.0007498
      254.09    -0.0002982    -0.0007199
      254.10    -0.0003362    -0.0005810
      254.11    -0.0002313    -0.0007417
      254.13    -0.0003507    -0.0009445
      254.14    -0.0003999    -0.0007135
      254.15    -0.0003392    -0.0007593
      254.16    -0.0004209    -0.0006567
      254.17    -0.0003425    -0.0006775
      254.18    -0.0003063    -0.0008673
      254.19    -0.0003484    -0.0008108
      254.20    -0.0002602    -0.0007439
      254.21    -0.0003252    -0.0006829
      254.22    -0.0002593    -0.0007015
      254.24    -0.0003368    -0.0006705
      254.25    -0.0002684    -0.0007953
      254.26    -0.0001564    -0.0008540
      254.27    -0.0003412    -0.0007529
