   37.56 C
      frequency    real         imag
      253.94    -0.0008648    -0.0017796
      253.95    -0.0009154    -0.0020597
      253.96    -0.0011201    -0.0020025
      253.97    -0.0010296    -0.0019869
      253.98    -0.0010545    -0.0020196
      253.99    -0.0011433    -0.0020416
      254.00    -0.0008544    -0.0019912
      254.02    -0.0010290    -0.0021339
      254.03    -0.0009793    -0.0020774
      254.04    -0.0009361    -0.0022046
      254.05    -0.0008923    -0.0020165
      254.06    -0.0009703    -0.0021316
      254.07    -0.0010248    -0.0021126
      254.08    -0.0010542    -0.0019849
      254.09    -0.0010360    -0.0020397
      254.10    -0.0009872    -0.0020903
      254.11    -0.0009573    -0.0019899
      254.13    -0.0010698    -0.0020431
      254.14    -0.0009634    -0.0020564
      254.15    -0.0011375    -0.0020166
      254.16    -0.0010087    -0.0021447
      254.17    -0.0009636    -0.0020678
      254.18    -0.0008414    -0.0020287
      254.19    -0.0009759    -0.0022038
      254.20    -0.0009947    -0.0020730
      254.21    -0.0006856    -0.0020999
      254.22    -0.0009094    -0.0020623
      254.24    -0.0010837    -0.0019930
      254.25    -0.0009893    -0.0021512
      254.26    -0.0010003    -0.0022690
      254.27    -0.0009454    -0.0021122
      254.28    -0.0010427    -0.0019753
      254.29    -0.0010120    -0.0019981
      254.30    -0.0008824    -0.0021990
      254.31    -0.0010290    -0.0021152
      254.32    -0.0010241    -0.0020779
      254.33    -0.0010154    -0.0021159
      254.35    -0.0008475    -0.0020723
      254.36    -0.0010761    -0.0019731
      254.37    -0.0010953    -0.0019956
      254.38    -0.0009856    -0.0021182
      254.39    -0.0007873    -0.0020196
      254.40    -0.0009982    -0.0020596
      254.41    -0.0010439    -0.0018995
      254.42    -0.0009861    -0.0019670
      254.43    -0.0009657    -0.0019810
      254.44    -0.0011017    -0.0019577
      254.46    -0.0010967    -0.0019275
      254.47    -0.0011114    -0.0020497
      254.48    -0.0011345    -0.0020483
      254.49    -0.0009189    -0.0021083
      254.50    -0.0009922    -0.0019349
      254.51    -0.0010367    -0.0021440
      254.52    -0.0009997    -0.0021280
      254.53    -0.0009975    -0.0022117
      254.54    -0.0008879    -0.0020834
      254.55    -0.0009939    -0.0022254
      254.57    -0.0010088    -0.0020241
      254.58    -0.0011121    -0.0021487
      254.59    -0.0010134    -0.0021526
      254.60    -0.0010080    -0.0021956
      254.61    -0.0010956    -0.0020745
      254.62    -0.0010333    -0.0020588
      254.63    -0.0011246    -0.0021372
      254.64    -0.0010802    -0.0019673
      254.65    -0.0010099    -0.0021579
      254.66    -0.0010870    -0.0020594
      254.68    -0.0009611    -0.0020849
      254.69    -0.0009377    -0.0021377
      254.70    -0.0009066    -0.0021372
      254.71    -0.0009217    -0.0020999
      254.72    -0.0010958    -0.0020881
      254.73    -0.0011963    -0.0021931
      254.74    -0.0008843    -0.0022020
      254.75    -0.0009216    -0.0023785
      254.76    -0.0010452    -0.0021583
      254.77    -0.0011634    -0.0019306
      254.79    -0.0010049    -0.0020386
      254.80    -0.0010444    -0.0020916
      254.81    -0.0008323    -0.0020950
      254.82    -0.0010720    -0.0021362
      254.83    -0.0009805    -0.0020834
      254.84    -0.0010859    -0.0020738
      254.85    -0.0013678    -0.0020135
      254.86    -0.0010568    -0.0019940
      254.87    -0.0009508    -0.0022258
      254.88    -0.0010587    -0.0019974
      254.90    -0.0008597    -0.0020936
      254.91    -0.0008729    -0.0020832
      254.92    -0.0011294    -0.0020900
      254.93    -0.0010516    -0.0021362
      254.94    -0.0009929    -0.0020218
      254.95    -0.0011332    -0.0020026
      254.96    -0.0010802    -0.0018117
      254.97    -0.0010036    -0.0020619
      254.98    -0.0008816    -0.0019727
      254.99    -0.0011211    -0.0020856
      255.01    -0.0011255    -0.0021115
      255.02    -0.0010462    -0.0020741
      255.03    -0.0010896    -0.0021445
      255.04    -0.0009124    -0.0020518
      255.05    -0.0010964    -0.0019541
      255.06    -0.0009318    -0.0022452
      255.07    -0.0010338    -0.0020847
      255.08    -0.0011787    -0.0022065
      255.09    -0.0008819    -0.0020537
      255.10    -0.0009713    -0.0021316
      255.12    -0.0009497    -0.0021934
