frequency    real         imag
      229.32     0.0025246    -0.0005061
      229.35     0.0025381    -0.0004226
      229.38     0.0025042    -0.0004694
      229.40     0.0024816    -0.0006473
      229.43     0.0025276    -0.0003800
      229.45     0.0025238    -0.0004666
      229.48     0.0025421    -0.0004777
      229.50     0.0024813    -0.0004936
      229.53     0.0025479    -0.0005191
      229.55     0.0024833    -0.0004758
      229.58     0.0023187    -0.0005316
      229.60     0.0024938    -0.0006853
      229.63     0.0025577    -0.0006834
      229.65     0.0025292    -0.0005134
      229.68     0.0023015    -0.0008345
      229.70     0.0024934    -0.0008046
      229.73     0.0021594    -0.0006784
      229.75     0.0023455    -0.0006332
      229.78     0.0024397    -0.0007176
      229.80     0.0023918    -0.0009207
      229.83     0.0024774    -0.0006364
      229.85     0.0025264    -0.0007203
      229.88     0.0024579    -0.0008045
      229.90     0.0024093    -0.0008775
      229.93     0.0023942    -0.0007448
      229.95     0.0024211    -0.0007984
      229.98     0.0024437    -0.0008552
      230.01     0.0024225    -0.0008917
      230.03     0.0023954    -0.0008855
      230.06     0.0023618    -0.0009963
      230.08     0.0025061    -0.0008487
      230.11     0.0025317    -0.0008086
      230.13     0.0025683    -0.0008849
      230.16     0.0023569    -0.0008968
      230.18     0.0024448    -0.0009385
      230.21     0.0023908    -0.0009512
      230.23     0.0024299    -0.0010217
      230.26     0.0023924    -0.0009857
      230.28     0.0023956    -0.0010591
      230.31     0.0026107    -0.0010254
      230.33     0.0024102    -0.0010335
      230.36     0.0022345    -0.0008854
      230.38     0.0024842    -0.0010819
      230.41     0.0024798    -0.0010554
      230.43     0.0023942    -0.0011937
      230.46     0.0024562    -0.0010912
      230.48     0.0023630    -0.0011692
      230.51     0.0024204    -0.0011521
      230.53     0.0022639    -0.0011411
      230.56     0.0023907    -0.0011771
      230.59     0.0024943    -0.0011423
      230.61     0.0023431    -0.0012360
      230.64     0.0024227    -0.0011761
      230.66     0.0025892    -0.0012547
      230.69     0.0024999    -0.0012660
      230.71     0.0025294    -0.0012375
      230.74     0.0024292    -0.0012817
      230.76     0.0022894    -0.0014706
      230.79     0.0024416    -0.0013710
      230.81     0.0024434    -0.0014285
      230.84     0.0023159    -0.0014176
      230.86     0.0023743    -0.0012598
      230.89     0.0023666    -0.0014359
      230.91     0.0024318    -0.0013756
      230.94     0.0022251    -0.0015764
      230.96     0.0023121    -0.0015203
      230.99     0.0023911    -0.0013759
      231.01     0.0024820    -0.0014275
      231.04     0.0022260    -0.0014711
      231.06     0.0024478    -0.0014170
      231.09     0.0023088    -0.0014467
      231.11     0.0023908    -0.0014844
      231.14     0.0023273    -0.0015270
      231.16     0.0023533    -0.0014781
      231.19     0.0023506    -0.0015869
      231.22     0.0023011    -0.0016019
      231.24     0.0021713    -0.0014256
      231.27     0.0022814    -0.0016672
      231.29     0.0023075    -0.0016735
      231.32     0.0021118    -0.0015941
      231.34     0.0022290    -0.0016532
      231.37     0.0022936    -0.0016004
      231.39     0.0022191    -0.0014937
      231.42     0.0021838    -0.0018246
      231.44     0.0023152    -0.0016612
      231.47     0.0021230    -0.0016350
      231.49     0.0024696    -0.0017135
      231.52     0.0022895    -0.0018136
      231.54     0.0023686    -0.0016872
      231.57     0.0022332    -0.0017290
      231.59     0.0021225    -0.0018950
      231.62     0.0021476    -0.0017836
      231.64     0.0020647    -0.0018812
      231.67     0.0020439    -0.0018519
      231.69     0.0022094    -0.0018587
      231.72     0.0023285    -0.0018021
      231.74     0.0021622    -0.0017991
      231.77     0.0022200    -0.0019213
      231.79     0.0022132    -0.0018212
      231.82     0.0024021    -0.0018604
      231.85     0.0021244    -0.0020324
      231.87     0.0021823    -0.0020537
      231.90     0.0020682    -0.0020314
      231.92     0.0020141    -0.0020508
      231.95     0.0020249    -0.0019989
      231.97     0.0021026    -0.0019398
      232.00     0.0020466    -0.0020648
      232.02     0.0020796    -0.0022324
      232.05     0.0019624    -0.0020948
      232.07     0.0021024    -0.0021567
      232.10     0.0019766    -0.0021346
      232.12     0.0021323    -0.0022222
      232.15     0.0020007    -0.0021671
      232.17     0.0019672    -0.0020605
      232.20     0.0019681    -0.0022348
      232.22     0.0019042    -0.0022301
      232.25     0.0020917    -0.0022566
      232.27     0.0020312    -0.0023237
      232.30     0.0019982    -0.0021689
      232.32     0.0017767    -0.0022027
      232.35     0.0019776    -0.0024703
      232.37     0.0018942    -0.0025547
      232.40     0.0017086    -0.0022391
      232.42     0.0015800    -0.0024199
      232.45     0.0017575    -0.0023263
      232.48     0.0018169    -0.0024633
      232.50     0.0016740    -0.0024002
      232.53     0.0016637    -0.0026082
      232.55     0.0016844    -0.0024043
      232.58     0.0016921    -0.0025191
      232.60     0.0016992    -0.0021931
      232.63     0.0016180    -0.0023785
      232.65     0.0017209    -0.0023045
      232.68     0.0015900    -0.0025969
      232.70     0.0016038    -0.0025004
      232.73     0.0015215    -0.0023722
      232.75     0.0015834    -0.0023300
      232.78     0.0015234    -0.0023903
      232.80     0.0013396    -0.0025139
      232.83     0.0014680    -0.0023940
      232.85     0.0013587    -0.0024914
      232.88     0.0013769    -0.0023986
      232.90     0.0013363    -0.0024603
      232.93     0.0012721    -0.0022349
      232.95     0.0014539    -0.0024483
      232.98     0.0012931    -0.0024623
      233.00     0.0011983    -0.0023101
      233.03     0.0011944    -0.0022976
      233.05     0.0011957    -0.0023014
      233.08     0.0012863    -0.0023411
      233.11     0.0012880    -0.0024570
      233.13     0.0012490    -0.0023671
      233.16     0.0010078    -0.0024109
      233.18     0.0011936    -0.0022093
      233.21     0.0012125    -0.0024797
      233.23     0.0013379    -0.0023161
      233.26     0.0009917    -0.0023146
      233.28     0.0010527    -0.0022976
      233.31     0.0011804    -0.0023336
      233.33     0.0012123    -0.0023659
      233.36     0.0013021    -0.0023317
      233.38     0.0011969    -0.0022452
      233.41     0.0010965    -0.0024049
      233.43     0.0012695    -0.0022929
      233.46     0.0011563    -0.0023576
      233.48     0.0013049    -0.0023877
      233.51     0.0012434    -0.0022911
      233.53     0.0012143    -0.0024090
      233.56     0.0010522    -0.0024097
      233.58     0.0011826    -0.0024521
      233.61     0.0013303    -0.0023540
      233.63     0.0010877    -0.0024016
      233.66     0.0010768    -0.0023502
      233.68     0.0011434    -0.0022655
      233.71     0.0010372    -0.0023989
      233.74     0.0009618    -0.0022778
      233.76     0.0009814    -0.0023445
      233.79     0.0010307    -0.0023029
      233.81     0.0011474    -0.0023922
      233.84     0.0012312    -0.0023731
      233.86     0.0010719    -0.0023042
      233.89     0.0010686    -0.0024128
      233.91     0.0011131    -0.0024034
      233.94     0.0008971    -0.0023862
      233.96     0.0010368    -0.0022061
      233.99     0.0010714    -0.0024501
      234.01     0.0011212    -0.0024226
      234.04     0.0011357    -0.0024713
      234.06     0.0010186    -0.0025011
      234.09     0.0011436    -0.0023603
      234.11     0.0009448    -0.0023155
      234.14     0.0010363    -0.0023362
      234.16     0.0010330    -0.0024188
      234.19     0.0009931    -0.0021566
      234.21     0.0011206    -0.0022853
      234.24     0.0009196    -0.0022504
      234.26     0.0012026    -0.0025777
      234.29     0.0010391    -0.0023521
      234.32     0.0012493    -0.0024405
      234.34     0.0009549    -0.0023767
      234.37     0.0011241    -0.0022859
      234.39     0.0011365    -0.0023844
      234.42     0.0010296    -0.0024107
      234.44     0.0011381    -0.0022470
      234.47     0.0009778    -0.0024075
      234.49     0.0010912    -0.0024935
      234.52     0.0010442    -0.0025054
      234.54     0.0009965    -0.0025159
      234.57     0.0009629    -0.0024818
      234.59     0.0010719    -0.0023905
      234.62     0.0010716    -0.0024067
      234.64     0.0009815    -0.0025817
      234.67     0.0010488    -0.0024660
      234.69     0.0010252    -0.0024736
      234.72     0.0009903    -0.0025589
      234.74     0.0010504    -0.0023817
      234.77     0.0008560    -0.0026263
      234.79     0.0007653    -0.0026158
      234.82     0.0008216    -0.0025275
      234.84     0.0010195    -0.0025604
      234.87     0.0008367    -0.0025511
      234.89     0.0008950    -0.0026086
      234.92     0.0008081    -0.0025810
      234.95     0.0008049    -0.0027691
      234.97     0.0006079    -0.0027466
      235.00     0.0008373    -0.0027570
      235.02     0.0008253    -0.0026384
      235.05     0.0008255    -0.0026073
      235.07     0.0008563    -0.0028030
      235.10     0.0008686    -0.0026955
      235.12     0.0008266    -0.0026417
      235.15     0.0008310    -0.0027189
      235.17     0.0007840    -0.0026659
      235.20     0.0008392    -0.0028102
      235.22     0.0007888    -0.0026878
      235.25     0.0007597    -0.0028104
      235.27     0.0007902    -0.0026828
      235.30     0.0007098    -0.0026286
      235.32     0.0006738    -0.0028180
      235.35     0.0007634    -0.0028424
      235.37     0.0006990    -0.0028423
      235.40     0.0007639    -0.0027337
      235.42     0.0007106    -0.0027924
      235.45     0.0005911    -0.0027657
      235.47     0.0008720    -0.0027642
      235.50     0.0006042    -0.0028869
      235.52     0.0006938    -0.0027841
      235.55     0.0006501    -0.0030018
      235.58     0.0006239    -0.0029341
      235.60     0.0006891    -0.0027477
      235.63     0.0005556    -0.0029406
      235.65     0.0005029    -0.0028348
      235.68     0.0005300    -0.0030460
      235.70     0.0004788    -0.0029547
      235.73     0.0005423    -0.0029847
      235.75     0.0004744    -0.0029521
      235.78     0.0004144    -0.0029436
      235.80     0.0004482    -0.0030046
      235.83     0.0004941    -0.0031834
      235.85     0.0004507    -0.0029275
